,Unnamed: 0,textID,text,selected_text,sentiment
0,0,cb774db0d1," I`d have responded, if I were going","I`d have responded, if I were going",neutral
1,1,549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative
2,2,088c60f138,my boss is bullying me...,bullying me,negative
3,3,9642c003ef, what interview! leave me alone,leave me alone,negative
4,4,358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative
5,5,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
6,6,6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive
7,7,50e14c0bb8,Soooo high,Soooo high,neutral
8,8,e050245fbd, Both of you,Both of you,neutral
9,9,fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive
